movie;type;word;minutes_in;%
Reservoir Dogs;word;fucking;34.3;0.346464646
Reservoir Dogs;word;fuck;34.38;0.347272727
Reservoir Dogs;word;fucking;34.46;0.348080808
Reservoir Dogs;word;fucking;34.56;0.349090909
Reservoir Dogs;word;fucking;34.6;0.349494949
Reservoir Dogs;word;fuck;34.71;0.350606061
Reservoir Dogs;word;fucking;34.75;0.351010101
Reservoir Dogs;word;fuck;34.85;0.352020202
Reservoir Dogs;word;asshole;34.98;0.353333333
Reservoir Dogs;word;assholes;35.48;0.358383838
Reservoir Dogs;word;fuck;35.5;0.358585859
Reservoir Dogs;word;fucking;35.6;0.35959596
Reservoir Dogs;word;fucking;35.61;0.35969697
Reservoir Dogs;word;n-word ;35.61;0.35969697
Reservoir Dogs;word;n-word ;35.63;0.35989899
Reservoir Dogs;word;fucking;35.71;0.360707071
Reservoir Dogs;word;fucking;35.83;0.361919192
Reservoir Dogs;word;fuck;35.88;0.362424242
Reservoir Dogs;word;asses;35.95;0.363131313
Reservoir Dogs;word;fuck;36.01;0.363737374
Reservoir Dogs;word;shit;36.06;0.364242424
Reservoir Dogs;word;fucking;36.11;0.364747475
Reservoir Dogs;word;fuck;37.41;0.377878788
Reservoir Dogs;word;fucking;37.48;0.378585859
Reservoir Dogs;word;fuck;37.91;0.382929293
Reservoir Dogs;word;fucking;39.06;0.394545455
Reservoir Dogs;word;asshole;39.06;0.394545455
Reservoir Dogs;word;fucking;39.18;0.395757576
Reservoir Dogs;word;hell;39.46;0.398585859
Reservoir Dogs;word;hell;39.6;0.4
Reservoir Dogs;word;bitch;39.88;0.402828283
Reservoir Dogs;word;fucking;40.13;0.405353535
Reservoir Dogs;word;ass;40.15;0.405555556
Reservoir Dogs;word;ass;40.3;0.407070707
Reservoir Dogs;word;fuckup;40.48;0.408888889
Reservoir Dogs;word;shit;40.96;0.413737374
Reservoir Dogs;word;fuck;41.25;0.416666667
Reservoir Dogs;word;bastard;41.3;0.417171717
Reservoir Dogs;word;fuck;41.31;0.417272727
Reservoir Dogs;word;fuck;41.43;0.418484848
Reservoir Dogs;word;fucking;41.75;0.421717172
Reservoir Dogs;word;ass;41.76;0.421818182
Reservoir Dogs;word;bitch;41.85;0.422727273
Reservoir Dogs;word;fucking;41.93;0.423535354
Reservoir Dogs;word;n-word ;41.93;0.423535354
Reservoir Dogs;word;ass;42;0.424242424
